Epoch: 1, Training Loss: 0.1013, Validation Loss: 0.1126, Validation Accuracy: 0.6804
Epoch: 6, Training Loss: 0.0953, Validation Loss: 0.1211, Validation Accuracy: 0.6598
Epoch: 11, Training Loss: 0.0868, Validation Loss: 0.1006, Validation Accuracy: 0.5258
Epoch: 16, Training Loss: 0.0933, Validation Loss: 0.0949, Validation Accuracy: 0.3918
Epoch: 21, Training Loss: 0.0877, Validation Loss: 0.0899, Validation Accuracy: 0.5464
Epoch: 26, Training Loss: 0.0893, Validation Loss: 0.0908, Validation Accuracy: 0.5361
Epoch: 31, Training Loss: 0.0879, Validation Loss: 0.1173, Validation Accuracy: 0.6804
Epoch: 36, Training Loss: 0.0877, Validation Loss: 0.0838, Validation Accuracy: 0.5258
Epoch: 41, Training Loss: 0.0889, Validation Loss: 0.1007, Validation Accuracy: 0.6082
Epoch: 46, Training Loss: 0.0903, Validation Loss: 0.0955, Validation Accuracy: 0.4742
Epoch: 51, Training Loss: 0.0863, Validation Loss: 0.0957, Validation Accuracy: 0.7010
Epoch: 56, Training Loss: 0.0855, Validation Loss: 0.0919, Validation Accuracy: 0.5464
Epoch: 61, Training Loss: 0.0818, Validation Loss: 0.1046, Validation Accuracy: 0.6495
Epoch: 66, Training Loss: 0.0860, Validation Loss: 0.1066, Validation Accuracy: 0.7216
Epoch: 71, Training Loss: 0.0824, Validation Loss: 0.1091, Validation Accuracy: 0.6907
Epoch: 76, Training Loss: 0.0851, Validation Loss: 0.0961, Validation Accuracy: 0.3505
Epoch: 81, Training Loss: 0.0879, Validation Loss: 0.0992, Validation Accuracy: 0.6495
Epoch: 86, Training Loss: 0.0848, Validation Loss: 0.1029, Validation Accuracy: 0.7010
Epoch: 91, Training Loss: 0.0804, Validation Loss: 0.0933, Validation Accuracy: 0.5052
Epoch: 96, Training Loss: 0.0780, Validation Loss: 0.1090, Validation Accuracy: 0.6495
Epoch: 101, Training Loss: 0.0779, Validation Loss: 0.0919, Validation Accuracy: 0.6289
Epoch: 106, Training Loss: 0.0726, Validation Loss: 0.1107, Validation Accuracy: 0.6907
Epoch: 111, Training Loss: 0.0701, Validation Loss: 0.0911, Validation Accuracy: 0.5979
Epoch: 116, Training Loss: 0.0762, Validation Loss: 0.0887, Validation Accuracy: 0.7010
Epoch: 121, Training Loss: 0.0806, Validation Loss: 0.0873, Validation Accuracy: 0.6907
Epoch: 126, Training Loss: 0.0722, Validation Loss: 0.0836, Validation Accuracy: 0.6598
Epoch: 131, Training Loss: 0.0685, Validation Loss: 0.0828, Validation Accuracy: 0.6495
Epoch: 136, Training Loss: 0.0711, Validation Loss: 0.0820, Validation Accuracy: 0.6495
Epoch: 141, Training Loss: 0.0685, Validation Loss: 0.0810, Validation Accuracy: 0.7113
Epoch: 146, Training Loss: 0.0680, Validation Loss: 0.1070, Validation Accuracy: 0.6907
Epoch: 151, Training Loss: 0.0581, Validation Loss: 0.1028, Validation Accuracy: 0.7320
Epoch: 156, Training Loss: 0.0540, Validation Loss: 0.0946, Validation Accuracy: 0.6907
Epoch: 161, Training Loss: 0.0565, Validation Loss: 0.0994, Validation Accuracy: 0.6598
Epoch: 166, Training Loss: 0.0556, Validation Loss: 0.0900, Validation Accuracy: 0.6701
Epoch: 171, Training Loss: 0.0440, Validation Loss: 0.1052, Validation Accuracy: 0.7526
Epoch: 176, Training Loss: 0.0386, Validation Loss: 0.1475, Validation Accuracy: 0.7113
Epoch: 181, Training Loss: 0.0400, Validation Loss: 0.1162, Validation Accuracy: 0.7423
Epoch: 186, Training Loss: 0.0433, Validation Loss: 0.1380, Validation Accuracy: 0.7320
Epoch: 191, Training Loss: 0.0426, Validation Loss: 0.1265, Validation Accuracy: 0.7320
Epoch: 196, Training Loss: 0.0358, Validation Loss: 0.1257, Validation Accuracy: 0.7526
